as_of_date,conference,team,conf_w,conf_l,conf_pct,overall_w,overall_l,overall_pct,streak,generated_at,conference_name,pipeline_run_id
20260304,Atlantic Coast Conference,Florida State Seminoles,0,0,0,13,14,0.481,0,2026-03-04T22:22:32Z,Atlantic Coast Conference,22692149656
20260304,Conference USA,Jacksonville State Gamecocks,0,0,0,13,15,0.464,0,2026-03-04T22:22:32Z,Conference USA,22692149656
20260304,ASUN Conference,Stetson Hatters,0,0,0,10,19,0.345,0,2026-03-04T22:22:32Z,ASUN Conference,22692149656
20260304,Southeastern Conference,Florida Gators,0,0,0,23,5,0.821,0,2026-03-04T22:22:32Z,Southeastern Conference,22692149656
20260304,American Athletic Conference,South Florida Bulls,0,0,0,20,7,0.741,0,2026-03-04T22:22:32Z,American Athletic Conference,22692149656
20260304,Atlantic Coast Conference,Georgia Tech Yellow Jackets,0,0,0,9,18,0.333,0,2026-03-04T22:22:32Z,Atlantic Coast Conference,22692149656
20260304,,Morehouse Maroon Tigers,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southeastern Conference,Georgia Bulldogs,0,0,0,19,9,0.679,0,2026-03-04T22:22:32Z,Southeastern Conference,22692149656
20260304,Big West Conference,Hawai'i Rainbow Warriors,0,0,0,21,6,0.778,0,2026-03-04T22:22:32Z,Big West Conference,22692149656
20260304,,Buena Vista Beavers,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Big 12,Iowa State Cyclones,0,0,0,22,6,0.786,0,2026-03-04T22:22:32Z,Big 12,22692149656
20260304,Mountain West,Boise State Broncos,0,0,0,18,10,0.643,0,2026-03-04T22:22:32Z,Mountain West,22692149656
20260304,Big Sky Conference,Idaho Vandals,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,Big Sky Conference,22692149656
20260304,Missouri Valley Conference,Bradley Braves,0,0,0,19,10,0.655,0,2026-03-04T22:22:32Z,Missouri Valley Conference,22692149656
20260304,,Illinois Tech Scarlet Hawks,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Big Ten,Northwestern Wildcats,0,0,0,11,16,0.407,0,2026-03-04T22:22:32Z,Big Ten,22692149656
20260304,Missouri Valley Conference,Southern Illinois Salukis,0,0,0,14,15,0.483,0,2026-03-04T22:22:32Z,Missouri Valley Conference,22692149656
20260304,Missouri Valley Conference,UIC Flames,0,0,0,16,13,0.552,0,2026-03-04T22:22:32Z,Missouri Valley Conference,22692149656
20260304,Big Ten,Indiana Hoosiers,0,0,0,16,12,0.571,0,2026-03-04T22:22:32Z,Big Ten,22692149656
20260304,Horizon League,IU Indianapolis Jaguars,0,0,0,7,22,0.241,0,2026-03-04T22:22:32Z,Horizon League,22692149656
20260304,Atlantic Coast Conference,Notre Dame Fighting Irish,0,0,0,11,16,0.407,0,2026-03-04T22:22:32Z,Atlantic Coast Conference,22692149656
20260304,Ohio Valley Conference,Southern Indiana Screaming Eagles,0,0,0,7,21,0.25,0,2026-03-04T22:22:32Z,Ohio Valley Conference,22692149656
20260304,ASUN Conference,Bellarmine Knights,0,0,0,13,16,0.448,0,2026-03-04T22:22:32Z,ASUN Conference,22692149656
20260304,Missouri Valley Conference,Murray State Racers,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,Missouri Valley Conference,22692149656
20260304,Horizon League,Northern Kentucky Norse,0,0,0,17,12,0.586,0,2026-03-04T22:22:32Z,Horizon League,22692149656
20260304,Southeastern Conference,Kentucky Wildcats,0,0,0,17,11,0.607,0,2026-03-04T22:22:32Z,Southeastern Conference,22692149656
